Mч,Tч,Si_ч,Mn_ч,C_ч,P_ч,S_ч,Mл,Si_л,Mn_л,C_л,P_л,S_л,М_ф1,М_ф2,М_ф3,М_ф3,М_ф3,М_мш,tд,Vд,Мм,Tм,Si_м,Mn_м,C_м,P_м,S_м,tM,Mш
297,1398,0.7173,0.3289,4.9621,0.0667,0.0158,105,0.194899,0.595107,0.191128,0.019265,0.019267,12020,2629,0,4550,0,1.485,19.47,21283,364.61,1666,0.004,0.146,0.096,0.035,0.027,10.9,57.5
291,1390,0.5661,0.2776,4.8437,0.0627,0.0192,112,0.196608,0.598204,0.193573,0.019479,0.019482,16072,1273,0,4557,0,1.455,19.27,22093,365.52,1680,0.003,0.081,0.053,0.01,0.021,22.8,51.3
310,1351,0.6655,0.2581,4.5803,0.066,0.0407,100,0.157792,0.53175,0.143716,0.015448,0.015448,13984,0,0,4513,0,1.55,19.92,22358,371.87,1713,0.002,0.055,0.042,0.01,0.021,8.5,54.8
310,1353,0.39,0.3,4.74,0.068,0.024,100,0.191168,0.591975,0.186714,0.019012,0.019012,14020,0,0,4518,0,1.55,19.03,22373,371.87,1628,0.004,0.068,0.048,0.01,0.03,8.5,41.3
300,1390,0.6883,0.2583,4.7933,0.0617,0.0183,110,0.180625,0.579818,0.171476,0.017847,0.017847,14036,992,0,4119,0,1.5,31.78,22428,371.87,1621,0.003,0.092,0.076,0.017,0.027,8.9,57.1
300,1442,0.62,0.24,4.87,0.055,0.017,112,0.209226,1.167423,0.099303,0.012099,0.008016,14015,3019,0,4101,0,1.5,17.88,20824,373.68,1655,0.003,0.144,0.106,0.021,0.017,9.8,55
304,1387,0.4051,0.2765,4.6807,0.0649,0.0306,105,0.184634,0.58608,0.175091,0.018046,0.01805,13995,1017,0,4544,0,1.52,18.05,21085,370.96,1631,0.003,0.077,0.052,0.012,0.018,8.8,42.6
295,1374,0.892,0.3039,4.6264,0.0621,0.0171,115,0.198817,0.60013,0.19793,0.019861,0.019861,18025,3008,0,4338,0,1.475,18.63,21788,371.87,1627,0.003,0.083,0.072,0.013,0.026,9.4,68.7
290,1400,0.9235,0.3103,4.7714,0.0644,0.0163,120,0.175134,0.574058,0.160581,0.016866,0.016872,16069,3123,10,4270,0,1.45,18.5,20924,371.87,1671,0.004,0.081,0.044,0.016,0.022,9.1,69.6
295,1371,0.4983,0.24,4.731,0.0568,0.021,116,0.190468,0.590151,0.183674,0.018641,0.018646,14040,0,593,4409,0,1.475,18.58,21139,372.78,1590,0.005,0.039,0.036,0.03,0.049,9.1,48.6
296,1368,0.5778,0.2927,4.7222,0.0649,0.022,115,0.194832,0.589263,0.232336,0.018392,0.018397,18938,1497,1082,4132,0,1.48,24.7,21474,372.78,1598,0.005,0.053,0.061,0.009,0.028,8.5,53.5
300,1399,0.5933,0.27,4.712,0.0637,0.023,111,0.192479,0.593153,0.186786,0.018908,0.018912,18395,2628,1095,3926,0,1.5,19.82,22444,372.78,1615,0.002,0.08,0.059,0.011,0.023,9.5,53.9
294,1403,0.8192,0.3115,4.7185,0.0666,0.0142,116,0.186948,0.587172,0.178293,0.018241,0.018247,20424,3111,1099,3936,0,1.47,19.9,22320,371.87,1613,0.002,0.07,0.063,0.007,0.023,9.4,65.5
301,1395,0.47,0.25,4.82,0.057,0.024,113,0.212501,1.171343,0.10402,0.01247,0.008391,16404,1273,1096,3930,0,1.505,19.35,21662,375.5,1606,0.006,0.077,0.143,0.006,0.015,10.2,48.1
300,1380,0.5,0.3,4.56,0.065,0.018,114,0.128112,0.525461,0.094082,0.012011,0.012011,16323,1177,1091,3991,0,1.5,18.97,21375,375.5,1633,0.004,0.141,0.052,0.008,0.019,10,48.1
299,1441,0.56,0.26,4.85,0.059,0.016,111,0.177413,0.576824,0.166661,0.017488,0.017488,20735,4444,1075,4032,0,1.495,20.37,22871,371.87,1658,0.003,0.087,0.076,0.006,0.018,9.9,52.5
298,1396,0.5467,0.2839,4.6089,0.0638,0.022,110,0.127767,0.524045,0.093829,0.011978,0.011978,16310,986,1071,4027,0,1.49,18.62,21090,370.06,1652,0.002,0.083,0.046,0.01,0.017,10.1,49.5
301,1412,0.6465,0.2733,4.687,0.0623,0.0173,110,0.127767,0.524045,0.093829,0.011978,0.011978,16316,2494,1072,4019,0,1.505,18.8,21123,372.78,1700,0.003,0.104,0.05,0.011,0.014,9.6,54.9
301,1428,0.4468,0.2866,4.7101,0.059,0.02,111,0.193869,0.592648,0.189869,0.019148,0.019151,21925,596,1095,4013,0,1.505,37.07,22464,373.68,1746,0.003,0.056,0.09,0.012,0.024,9.3,47
292,1399,0.68,0.27,4.63,0.063,0.014,85,0.127849,0.524382,0.093889,0.011986,0.011986,20323,2012,1013,4023,0,1.46,17.92,20869,341.94,1649,0.003,0.086,0.07,0.007,0.012,8.8,51.8
297,1432,0.37,0.24,0,0.059,0.029,116,0.198186,0.639985,0.188203,0.01904,0.018727,15421,2014,0,4004,0,1.485,18.42,21588,374.59,1646,0.005,0.086,0.051,0.009,0.018,9.4,43
